#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Mb),GC%,Assembly Accession,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status,Center,BioSample Accession
Aspergillus tubingensis CBS 134.48,767770,PRJNA207690,207690,Fungi,Ascomycetes,35.1461,49.2,GCA_001890745.1,-,LJXU01,33,12592,12319,07/12/2016,07/12/2016,Scaffold,DOE Joint Genome Institute,SAMN00203939
Hydnomerulius pinastri MD-312,994086,PRJNA207871,207871,Fungi,Basidiomycetes,38.2788,50.6,GCA_000827185.1,-,JMSK01,603,13363,13239,21/01/2015,15/04/2016,Scaffold,DOE Joint Genome Institute,SAMN02746004
Suillus luteus UH-Slu-Lm8-n1,930992,PRJNA242126,242126,Fungi,Basidiomycetes,37.0143,48,GCA_000827255.1,-,JMSM01,1944,18419,18303,21/01/2015,15/04/2016,Scaffold,DOE Joint Genome Institute,SAMN00794629
Trichoderma longibrachiatum SMF2,1234776,PRJNA175761,175761,Fungi,Ascomycetes,31.7431,54,GCA_000332775.1,-,ANBJ01,194,-,-,22/01/2013,11/08/2014,Scaffold,Shandong University,SAMN02981471
Trichoderma asperellum,101201,PRJNA239663,239663,Fungi,Ascomycetes,37.6867,46.5794,GCA_000733085.2,mitochondrion MT:KR952346.1,JNNP01,1439,43,17,24/07/2014,28/06/2016,Contig,University of Appleid Sciences of Western Switzerland,SAMN02666739
Suhomyces tanzawaensis NRRL Y-17324,984487,PRJNA207878,207878,Fungi,Ascomycetes,13.1362,45.3,GCA_001661415.1,-,LYME01,16,6143,5885,10/06/2016,15/09/2016,Scaffold,DOE Joint Genome Institute,SAMN00794653
Candida arabinofermentans NRRL YB-2248,983967,PRJNA207879,207879,Fungi,Ascomycetes,13.2339,34.9,GCA_001661425.1,-,LWUO01,62,5946,5830,10/06/2016,15/09/2016,Scaffold,DOE Joint Genome Institute,SAMN00794644
Gonapodya prolifera JEL478,1344416,PRJNA207863,207863,Fungi,Other Fungi,48.7948,52.3,GCA_001574975.1,-,LSZK01,352,13912,13831,25/02/2016,26/02/2016,Scaffold,DOE Joint Genome Institute,SAMN02746072
Ascoidea rubescens DSM 1968,1344418,PRJNA207865,207865,Fungi,Ascomycetes,17.504,32.9,GCA_001661345.1,-,LYBR01,63,6962,6787,10/06/2016,15/09/2016,Scaffold,DOE Joint Genome Institute,SAMN02746076
Rhizophagus irregularis DAOM 181602=DAOM 197198,747089,PRJDB4945,419507,Fungi,Other Fungi,149.751,27.9,GCA_002897155.1,-,BDIQ01,210,41601,43673,21/11/2017,20/12/2017,Contig,"NIBB core research facilities, National Institues for Basic Biology",SAMD00053945
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,869754,PRJNA207846,207846,Fungi,Ascomycetes,16.0552,47.9,GCA_001664035.1,-,LXTC01,48,6090,5838,17/06/2016,07/09/2016,Scaffold,DOE Joint Genome Institute,SAMN00773783
Hepatospora eriocheir,1081669,PRJNA208659,208659,Fungi,Other Fungi,4.57028,22.4,GCA_002087885.1,-,LVKB01,1300,2716,2691,12/04/2017,12/04/2017,Scaffold,University of Exeter,SAMN04550297
Fusarium equiseti,61235,PRJNA361522,361522,Fungi,Ascomycetes,39.5995,48.3,GCA_002894235.1,-,MTPY01,267,-,-,22/01/2018,22/01/2018,Scaffold,CSIRO,SAMN06234580
Amanita muscaria Koide BX008,946122,PRJNA207684,207684,Fungi,Basidiomycetes,40.6998,47.7,GCA_000827485.1,-,JMDV01,1101,18091,18093,21/01/2015,15/04/2016,Scaffold,DOE Joint Genome Institute,SAMN02746075
Verticillium alfalfae VaMs.102,526221,PRJNA29511,29511,Fungi,Ascomycetes,32.863,55.4,GCA_000150825.1,-,ABPE01,27,10488,10237,06/06/2008,06/08/2014,Scaffold,Broad Institute,SAMN02953725
Penicillium oxalicum 114-2,933388,PRJNA60877,60877,Fungi,Ascomycetes,30.1774,50.6,GCA_000346795.1,-,AGIH01,9,10013,9979,15/03/2013,11/08/2014,Scaffold,"State Key Laboratory of Microbial Technology, Shandong University",SAMN02981374
Sporothrix schenckii 1099-18,1397361,PRJNA218070,218070,Fungi,Ascomycetes,32.3751,55,GCA_000961545.1,-,AXCR01,16,10432,10293,24/03/2015,24/03/2015,Contig,LNCC,SAMN03199974
Komagataella phaffii GS115,644223,PRJEA37871,37871,Fungi,Ascomycetes,9.21638,41.1319,GCA_000027005.1,chromosome 1:NC_012963.1/FN392319.1; chromosome 2:NC_012964.1/FN392320.1; chromosome 3:NC_012965.1/FN392321.1; chromosome 4:NC_012966.1/FN392322.1,-,4,5040,5040,25/05/2009,11/10/2017,Chromosome,"Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium",SAMEA2272385
Phellinus noxius,418867,PRJNA377805,377805,Fungi,Basidiomycetes,31.608,41.5895,GCA_002287475.1,chromosome 1:CM008251.1; chromosome 2:CM008252.1; chromosome 3:CM008253.1; chromosome 4:CM008254.1; chromosome 5:CM008255.1; chromosome 6:CM008256.1; chromosome 7:CM008257.1; chromosome 8:CM008258.1; chromosome 9:CM008259.1; chromosome 10:CM008260.1; chromosome 11:CM008261.1; chromosome 12:CM008262.1; mitochondrion MT:CM008263.1,NBII01,13,19640,19640,06/09/2017,06/09/2017,Chromosome,Academia Sinica,SAMN06480491
Mucor irregularis B50,1290454,PRJNA232510,232510,Fungi,Other Fungi,33.9666,37.9,GCA_000587855.1,-,AZYI01,882,-,-,09/03/2014,11/03/2014,Scaffold,Nanjing Biozeron,SAMN02485654
Acremonium chrysogenum ATCC 11550,857340,PRJNA248608,248608,Fungi,Ascomycetes,28.5905,55.1726,GCA_000769265.1,mitochondrion MT:JPKY01000541.1,JPKY01,541,9050,8901,15/08/2014,22/10/2014,Scaffold,Ruhr-Universitaet Bochum,SAMN02799700
Rhynchosporium agropyri,914238,PRJEB12900,350475,Fungi,Ascomycetes,52.4771,42.9,GCA_900074905.1,-,FJUX01,508,13808,13673,25/10/2016,25/10/2016,Scaffold,Technische Universitat Munchen - WZW,SAMEA3895814
Rhynchosporium secalis,38038,PRJEB12899,350473,Fungi,Ascomycetes,49.4113,43.9,GCA_900074895.1,-,FJVC01,2130,13173,13145,25/10/2016,02/02/2017,Scaffold,Technische Universitat Munchen - WZW,SAMEA3895815
Rhynchosporium commune,914237,PRJEB12897,350472,Fungi,Ascomycetes,55.6391,42.3,GCA_900074885.1,-,FJUW01,164,12329,12211,25/10/2016,25/10/2016,Scaffold,Technische Universitat Munchen - WZW,SAMEA3895816
Umbelopsis isabellina B7317,1357687,PRJNA211912,211912,Fungi,Other Fungi,21.8708,42,GCA_000697415.1,-,JNEQ01,58,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370994
Endocarpon pusillum Z07020,1263415,PRJNA245134,245134,Fungi,Ascomycetes,37.1306,46,GCA_000464535.1,-,APWS01,908,9238,9238,04/09/2013,11/08/2014,Scaffold,NCBI,SAMN02981524
Colletotrichum lindemuthianum,290576,PRJNA325493,325493,Fungi,Ascomycetes,99.1667,37.3,GCA_001693025.2,-,MASP02,1276,-,-,24/07/2016,04/02/2017,Scaffold,Universidade Federal de Vicosa,SAMN05235602
Hanseniaspora vineae,56409,PRJNA311682,311682,Fungi,Ascomycetes,11.6629,37.4,GCA_002141495.1,-,LSNF01,741,-,-,16/05/2017,16/05/2017,Contig,Facultad de Quimica,SAMN04487210
Sclerotinia borealis F-4128,1432307,PRJNA227173,227173,Fungi,Ascomycetes,39.4501,41.9,GCA_000503235.1,-,AYSA01,1241,10346,10166,03/12/2013,29/11/2016,Scaffold,Centre Bioengineering RAS,SAMN02981572
Penicillium roqueforti FM164,1365484,PRJEB4023,214067,Fungi,Ascomycetes,29.01,48.7,GCA_000513255.1,-,CBMR01,48,12422,12319,01/08/2013,30/01/2015,Scaffold,INRA-LIPM,SAMEA3138836
Anthracocystis flocculosa PF-1,1277687,PRJNA245148,245148,Fungi,Basidiomycetes,23.3054,65,GCA_000417875.1,-,AOUS01,39,6877,6877,27/06/2013,11/08/2014,Scaffold,NCBI,SAMN02981510
Gyalolechia flavorubescens KoLRI002931,1353255,PRJNA210248,210248,Fungi,Ascomycetes,34.4682,41.9,GCA_000442125.1,-,AUPK01,36,-,-,29/07/2013,11/08/2014,Scaffold,Seoul National University,SAMN02981550
Cladonia macilenta KoLRI003786,1353983,PRJNA210603,210603,Fungi,Ascomycetes,37.1171,44.8,GCA_000444155.1,-,AUPP01,240,-,-,06/08/2013,11/08/2014,Scaffold,Seoul National University,SAMN02981551
Cladonia metacorallifera KoLRI002260,1400770,PRJNA219240,219240,Fungi,Ascomycetes,36.6821,45,GCA_000482085.2,-,AXCT02,30,-,-,23/10/2013,11/08/2014,Scaffold,Seoul National University,SAMN02981562
Cerataphis brasiliensis yeast-like symbiont,1202554,PRJNA169168,169168,Fungi,Ascomycetes,25.4655,56,GCA_000372705.1,-,AOFP01,1181,-,-,15/04/2013,11/08/2014,Scaffold,University of Arizona,SAMN02981500
Puccinia psidii,181123,PRJNA295407,295407,Fungi,Basidiomycetes,129.776,31.2,GCA_001443065.1,-,LKHF01,57309,-,-,12/11/2015,13/11/2015,Scaffold,University of Sydney,SAMN04053797
Pseudogymnoascus pannorum var. pannorum,79859,PRJNA299331,299331,Fungi,Ascomycetes,30.5347,49.6,GCA_001630605.1,-,LNAS01,599,-,-,25/04/2016,25/04/2016,Scaffold,Ohio State University,SAMN04155469
Helminthosporium solani B-AC-16A,1400345,PRJNA219149,219149,Fungi,Ascomycetes,34.5316,49.1,GCA_000498615.1,-,AWWW01,5686,-,-,22/11/2013,29/08/2014,Contig,University of Wisconsin-Madison,SAMN02566892
Pseudocercospora pini-densiflorae CBS 125139,1367541,PRJNA212512,212512,Fungi,Ascomycetes,43.5134,49.1,GCA_000504365.2,-,AWYD02,3263,-,-,03/12/2013,25/04/2017,Scaffold,Tree Aggressors Identification using Genomic Approaches,SAMN02254956
Byssochlamys spectabilis No. 5,1356009,PRJDB1394,227278,Fungi,Ascomycetes,29.7624,48.6,GCA_000497085.1,-,BAUL01,1053,8877,8877,11/11/2013,16/09/2015,Contig,Sojo University,SAMD00036776
Amanita jacksonii TRTC168611,1417757,PRJNA226613,226613,Fungi,Basidiomycetes,30.8564,47.4,GCA_000497225.1,-,AYNK01,4516,-,-,13/11/2013,11/08/2014,Scaffold,University of Toronto,SAMN02981569
Lecanosticta acicola,111012,PRJNA390145,390145,Fungi,Ascomycetes,38.4247,50.1,GCA_002441625.1,-,NXEF01,3554,-,-,04/10/2017,04/10/2017,Scaffold,Mississippi State University,SAMN07222061
Penicillium camemberti FM 013,1429867,PRJEB4962,230337,Fungi,Ascomycetes,35.012,48.2,GCA_000513335.1,-,CBVV01,180,14511,14418,04/12/2013,30/01/2015,Scaffold,INRA-LIPM,SAMEA3138840
Moesziomyces aphidis DSM 70725,1391700,PRJNA215967,215967,Fungi,Basidiomycetes,17.9217,60.9,GCA_000517465.1,-,AWNI01,42,6011,6011,10/01/2014,27/02/2014,Scaffold,Fraunhofer IGB,SAMN02319046
Kuraishia capsulata CBS 1993,1382522,PRJEB4427,236987,Fungi,Ascomycetes,11.3712,45.7,GCA_000576695.1,-,CBUD02,7,5989,5989,29/01/2014,30/01/2015,Scaffold,Genoscope CEA,SAMEA3138920
Penicillium fuscoglaucum FM041,1439350,PRJEB5119,238636,Fungi,Ascomycetes,36.0855,47.7,GCA_000576735.1,-,CBXP01,953,-,-,18/02/2014,30/09/2015,Scaffold,INRA-LIPM,SAMEA3138922
Penicillium nalgiovense,60175,PRJNA395479,395479,Fungi,Ascomycetes,33.0062,48.4,GCA_002072425.1,-,MOOB01,1956,11853,11853,24/03/2017,06/04/2017,Scaffold,NCBI,SAMN05200876
Penicillium carneum LCP05634,1439351,PRJEB5124,238633,Fungi,Ascomycetes,25.9366,49,GCA_000577495.1,-,CBXS01,2090,-,-,18/02/2014,30/09/2015,Scaffold,INRA-LIPM,SAMEA3138930
Penicillium paneum FM227,1439348,PRJEB5117,238634,Fungi,Ascomycetes,26.5793,49,GCA_000577715.1,-,CBXN01,224,-,-,18/02/2014,30/09/2015,Scaffold,INRA-LIPM,SAMEA3138936
Penicillium biforme FM169,1439349,PRJEB5118,238635,Fungi,Ascomycetes,34.8746,48.1,GCA_000577785.1,-,CBXO01,582,-,-,18/02/2014,30/09/2015,Scaffold,INRA-LIPM,SAMEA3138938
Phaeomoniella chlamydospora,158046,PRJNA261774,261774,Fungi,Ascomycetes,27.5134,47,GCA_001006345.1,-,LCWF01,702,6907,6907,13/05/2015,02/07/2015,Scaffold,University of California Davis,SAMN03077702
Corynespora cassiicola,59586,PRJEB19843,378373,Fungi,Ascomycetes,42.5037,51.8,GCA_900169545.1,-,FWCK01,774,-,-,16/03/2017,16/03/2017,Scaffold,UNIVERSITY OF BRISTOL,SAMEA103891068
Neurospora africana FGSC 1740,1266766,PRJEB1165,232141,Fungi,Ascomycetes,36.0784,51.9,GCA_000604205.2,-,CAPO02,1978,-,-,07/01/2014,30/01/2015,Scaffold,EBC,SAMEA3138956
Neurospora pannonica FGSC 7221,1266714,PRJEB1167,232144,Fungi,Ascomycetes,38.5954,51.8,GCA_000604225.2,-,CAPQ02,3551,-,-,07/01/2014,30/01/2015,Scaffold,EBC,SAMEA3138957
Neurospora sublineolata FGSC 5508,1266767,PRJEB1166,232140,Fungi,Ascomycetes,35.7014,52.3,GCA_000604185.2,-,CAPP02,2917,-,-,07/01/2014,30/01/2015,Scaffold,EBC,SAMEA3138955
Neurospora terricola FGSC 1889,1266715,PRJEB1168,232142,Fungi,Ascomycetes,39.3337,51.2,GCA_000604245.2,-,CAPR02,6008,-,-,07/01/2014,30/01/2015,Scaffold,EBC,SAMEA3138958
Ochroconis constricta UM 578,1442076,PRJNA232808,232808,Fungi,Ascomycetes,34.4344,52.1,GCA_000611715.1,-,AZYM01,544,-,-,28/03/2014,11/08/2014,Contig,UNIVERSITY OF MALAYA,SAMN02981577
Kalmanozyma brasiliensis GHG001,1365824,PRJNA217085,217085,Fungi,Basidiomycetes,17.3254,58.1,GCA_000497045.1,-,AWXO01,45,5886,5765,14/11/2013,17/08/2015,Scaffold,Laboratorio Nacional de Ciencia e Tecnologia do Bioetanol,SAMN02334589
Umbilicaria muehlenbergii,87280,PRJNA239196,239196,Fungi,Ascomycetes,34.8124,47.1,GCA_000611775.1,-,JFDN01,7,-,-,31/03/2014,29/04/2014,Scaffold,Seoul National University,SAMN02650300
Aspergillus ruber CBS 135680,1388766,PRJNA215335,215335,Fungi,Ascomycetes,26.2093,48.8,GCA_000600275.1,-,AWRT01,110,10241,10066,25/03/2014,16/09/2014,Scaffold,DOE Joint Genome Institute,SAMN02744096
Diplodia sapinea CMW 190,1400760,PRJNA215898,215898,Fungi,Ascomycetes,36.0534,56.9,GCA_000671355.1,-,AXCF01,2048,-,-,02/05/2014,02/05/2014,Scaffold,"Forestry and Agricultural Biotechnology Institute, University of Pretoria",SAMN02333269
Ustilaginoidea virens,1159556,PRJNA240653,240653,Fungi,Ascomycetes,39.3977,49.9,GCA_000687475.1,-,JHTR01,449,8426,8426,09/05/2014,09/05/2014,Scaffold,China Agricultural University,SAMN02693461
Colletotrichum sublineola,1173701,PRJNA356071,356071,Fungi,Ascomycetes,64.8486,45.4,GCA_001951195.1,-,MQVQ01,548,-,-,13/01/2017,13/01/2017,Scaffold,University of Kentucky,SAMN06102611
Cokeromyces recurvatus B5483,1357676,PRJNA211901,211901,Fungi,Other Fungi,29.3436,30.4,GCA_000697235.1,-,JNEH01,2637,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370952
Mucor racemosus B9645,1357677,PRJNA211902,211902,Fungi,Other Fungi,65.533,32.5,GCA_000697255.1,-,JNEI01,6360,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02371509
Mucor indicus B7402,1357679,PRJNA211904,211904,Fungi,Other Fungi,39.7972,35.8,GCA_000697295.1,-,JNEK01,3117,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370966
Conidiobolus incongruus B7586,1357681,PRJNA211906,211906,Fungi,Other Fungi,93.8954,22.4,GCA_000697335.1,-,JNEM01,17076,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02371512
Syncephalastrum monosporum B8922,1357682,PRJNA211907,211907,Fungi,Other Fungi,29.5654,48.3,GCA_000697355.1,-,JNEN01,1284,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370995
Rhizomucor variabilis B7584,1357689,PRJNA211914,211914,Fungi,Other Fungi,33.0375,37.8,GCA_000697435.1,-,JNES01,967,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370991
Saksenae oblongispora B3353,1357693,PRJNA211918,211918,Fungi,Other Fungi,40.7543,41.9,GCA_000697495.1,-,JNEV01,1702,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370959
Galerina marginata CBS 339.88,685588,PRJNA207683,207683,Fungi,Basidiomycetes,59.4182,48,GCA_000697645.1,-,AYUM01,414,21539,21391,03/06/2014,02/07/2014,Scaffold,DOE Joint Genome Institute,SAMN02746050
Balansia obtecta B249,1405085,PRJNA221345,221345,Fungi,Ascomycetes,30.1535,48.6,GCA_000709145.1,-,JFZS01,1552,-,-,16/06/2014,16/06/2014,Contig,University of Kentucky,SAMN02863992
Eremothecium coryli CBS 5749,1429780,PRJNA229863,229863,Fungi,Ascomycetes,9.09493,41.6,GCA_000710315.1,-,AZAH01,19,-,-,19/06/2014,19/06/2014,Scaffold,Carlsberg Laboratory,SAMN02864843
Sporothrix pallida,431197,PRJNA248334,248334,Fungi,Ascomycetes,37.8279,52.7738,GCA_000710705.2,mitochondrion MT:CM003773.1,JNEX02,432,-,-,20/06/2014,06/04/2016,Contig,University of Messina,SAMN02797831
Ceratocystis manginecans,929235,PRJNA243355,243355,Fungi,Ascomycetes,31.7061,47.9,GCA_000712455.1,-,JJRZ01,980,-,-,26/06/2014,01/12/2015,Scaffold,Forestry and Agricultural Biotechnology Institute,SAMN02715805
Aureobasidium melanogenum,46634,PRJNA376057,376057,Fungi,Ascomycetes,26.1176,50.1,GCA_002156615.1,-,MWII01,42,-,-,22/05/2017,22/05/2017,Scaffold,Ocean University of China,SAMN06349753
Aureobasidium namibiae CBS 147.97,1043004,PRJNA207872,207872,Fungi,Ascomycetes,25.4286,51.1,GCA_000721765.1,-,AYEM01,47,10259,10259,02/07/2014,06/04/2015,Scaffold,DOE Joint Genome Institute,SAMN02744099
Aureobasidium subglaciale EXF-2481,1043005,PRJNA292599,292599,Fungi,Ascomycetes,25.7967,50.8,GCA_000721755.1,-,AYYB01,75,10792,10792,02/07/2014,08/07/2014,Scaffold,NCBI,SAMN02744088
Atkinsonella hypoxylon,47741,PRJNA221544,221544,Fungi,Ascomycetes,35.5932,44.3,GCA_000729835.1,-,JFHB01,688,-,-,15/07/2014,15/07/2014,Contig,University of Kentucky,SAMN02911898
Epichloe aotearoae,170559,PRJNA221524,221524,Fungi,Ascomycetes,34.4231,44.5,GCA_000729855.1,-,JFGX01,2094,-,-,15/07/2014,15/07/2014,Contig,University of Kentucky,SAMN02911894
Epichloe baconii ATCC 200745,1406312,PRJNA221976,221976,Fungi,Ascomycetes,38.0853,42.7,GCA_000729845.1,-,JFGY01,3603,-,-,15/07/2014,15/07/2014,Contig,University of Kentucky,SAMN02911895
Epichloe bromicola,79588,PRJNA274994,274994,Fungi,Ascomycetes,38.7752,42.4,GCA_001008065.1,-,LBNI01,2512,-,-,15/05/2015,15/05/2015,Scaffold,University of Kentucky,SAMN03576568
Hypocrella siamensis,696354,PRJNA242986,242986,Fungi,Ascomycetes,28.8565,53.1,GCA_000731825.1,-,JMQE01,2034,-,-,18/07/2014,24/05/2016,Contig,CSIR- Institute of Microbial technology (IMTECH),SAMN02711855
Scedosporium apiospermum,563466,PRJNA319335,319335,Fungi,Ascomycetes,43.4371,50.4,GCA_000732125.1,-,JOWA01,176,10917,8375,21/07/2014,21/10/2014,Scaffold,NCBI,SAMN02727168
Verticillium tricorpus MUCL 9792,1425883,PRJNA229139,229139,Fungi,Ascomycetes,36.0604,57.3,GCA_000732205.1,-,JPET01,58,-,-,21/07/2014,13/04/2016,Scaffold,Wageningen University,SAMN02415140
Isaria farinosa,89141,PRJNA242987,242987,Fungi,Ascomycetes,34.1575,53.2,GCA_000733625.1,-,JMNC01,1314,-,-,25/07/2014,25/07/2014,Contig,CSIR- Institute of Microbial technology (IMTECH),SAMN02711856
Penicillium nordicum,229535,PRJNA239658,239658,Fungi,Ascomycetes,30.4213,47.6791,GCA_000733025.2,mitochondrion MT:KR952336.1,JNNR01,915,46,17,24/07/2014,02/03/2016,Contig,University of Applied Sciences of Western Switzerland,SAMN02666716
Lichtheimia ramosa B5792,1357685,PRJNA211910,211910,Fungi,Other Fungi,42.4207,41.1,GCA_000697395.1,-,JNEP01,3694,-,-,02/06/2014,02/06/2014,Contig,IGS,SAMN02370993
Venturia pyrina ICMP 11032,1437871,PRJNA232087,232087,Fungi,Ascomycetes,41.1779,47.6,GCA_000738655.1,-,JEMP01,1045,-,-,07/08/2014,25/06/2015,Scaffold,La Trobe University Department of Botany,SAMN02641049
Papiliotrema laurentii RY1,1354741,PRJNA210827,210827,Fungi,Basidiomycetes,19.1459,56.2,GCA_000738825.1,-,JDSR01,1152,-,-,08/08/2014,08/08/2014,Scaffold,Jadavpur University,SAMN02639477
Penicillium rubens Wisconsin 54-1255,500485,PRJEA27927,27927,Fungi,Ascomycetes,32.2237,49,GCA_000226395.1,-,-,49,13908,12791,-,-,Scaffold,"DSM Anti-Infectives, The Netherlands",SAMEA2272345
Lignosus rhinocerotis TM02,1379160,PRJNA212725,212725,Fungi,Basidiomycetes,34.3129,53.6,GCA_000743315.1,-,AXZM01,1338,-,-,25/08/2014,25/08/2014,Scaffold,University of Malaya,SAMN03004335
Shiraia sp. slf14,665115,PRJNA222884,222884,Fungi,Ascomycetes,32.0674,48,GCA_000498155.1,-,AXZN01,288,-,-,21/11/2013,28/02/2014,Contig,Jiangxi Normal University,SAMN02371273
Mycosphaerella sp. Ston1,333113,PRJNA212506,212506,Fungi,Ascomycetes,27.9209,51.1,GCA_000504405.2,-,AWYF02,2027,-,-,03/12/2013,25/04/2017,Scaffold,Tree Aggressors Identification using Genomic Approaches,SAMN02254960
Saccharomycetaceae sp. 'Ashbya aceri',566037,PRJNA39551,39551,Fungi,Ascomycetes,8.89452,51.1789,GCA_000412225.2,chromosome I:CP006020.1; chromosome II:CP006021.1; chromosome III:CP006022.1; chromosome IV:CP006023.1; chromosome V:CP006024.1; chromosome VI:CP006025.1; chromosome VII:CP006026.1; mitochondrion MT:CP006258.1,-,8,4690,4487,18/06/2013,01/10/2014,Complete Genome,"Duke University, Molecular Genetics and Microbiology",SAMN03081470
Epichloe sp. AL9924,1344566,PRJNA215230,215230,Fungi,Ascomycetes,36.1696,44,GCA_000729825.1,-,JFGW01,1068,-,-,15/07/2014,15/07/2014,Contig,University of Kentucky,SAMN02911893
Beauveria rudraprayagi,1481906,PRJNA242988,242988,Fungi,Ascomycetes,36.5895,50.1,GCA_000733645.1,-,JMNB01,4708,-,-,25/07/2014,21/12/2016,Contig,CSIR- Institute of Microbial technology (IMTECH),SAMN02711857
Nematocida sp. 1 ERTm6,1138374,PRJNA82177,82177,Fungi,Other Fungi,4.27604,38.4,GCA_000738915.1,-,AKIJ01,24,2491,2433,11/08/2014,22/10/2014,Scaffold,Broad Institute,SAMN00779735
Herpotrichiellaceae sp. UM238,1240657,PRJNA176958,176958,Fungi,Ascomycetes,28.3643,49.8,GCA_000315175.1,-,AMYF01,217,-,-,26/11/2012,11/08/2014,Contig,UNIVERSITY OF MALAYA,SAMN02981467
Pyrenochaeta sp. UM 256,1295359,PRJNA189754,189754,Fungi,Ascomycetes,35.4843,50.3,GCA_000359685.2,-,AOUM02,254,-,-,09/04/2013,11/12/2017,Scaffold,UNIVERSITY OF MALAYA,SAMN02981511
Tolypocladium sp. Sup5 PDA-1,1501327,PRJNA254396,254396,Fungi,Ascomycetes,37.875,56.5,GCA_000750105.3,-,JPHH03,464,-,-,08/09/2014,09/07/2015,Scaffold,INPART,SAMN02903338
Tolypocladium sp. Salcha MEA-2,1355412,PRJNA254396,254396,Fungi,Ascomycetes,30.833,57.9,GCA_000750145.2,-,JPIJ02,44,-,-,08/09/2014,02/06/2015,Contig,INPART,SAMN02903337
Meyerozyma caribbica MG20W,1091232,PRJDA73189,73189,Fungi,Ascomycetes,10.6093,43.8,GCA_000755205.1,-,BADS01,9,-,-,04/09/2014,15/09/2015,Contig,Gyeongbuk institute for marine Bio-industry,SAMD00036588
Nilaparvata lugens yeast-like symbiont,36927,PRJNA177649,177649,Fungi,Ascomycetes,26.8096,55,GCA_000758425.1,-,JRMI01,578,-,-,26/09/2014,18/12/2014,Scaffold,Nilaparvata lugens Genome Consortium,SAMN03081412
Parasitella parasitica,35722,PRJEB7124,260023,Fungi,Other Fungi,44.9106,39.8,GCA_000938895.1,-,CCXP01,15637,13543,13408,27/09/2014,27/09/2014,Scaffold,FRIEDRICH SCHILLER UNIVERSITY JENA,SAMEA2780554
Mitosporidium daphniae,1485682,PRJNA292596,292596,Fungi,Other Fungi,5.63696,43,GCA_000760515.1,-,JMKJ01,612,3330,3330,30/09/2014,30/10/2014,Contig,NCBI,SAMN02714227
Trametes cinnabarina,5643,PRJEB5237,251621,Fungi,Basidiomycetes,33.6689,55.6,GCA_000765035.1,-,CCBP01,776,10419,10233,04/06/2014,30/01/2015,Scaffold,INRA_UMR1163_BCF,SAMEA3158467
Phlebopus portentosus,80661,PRJNA260232,260232,Fungi,Basidiomycetes,30.3522,49,GCA_000766925.2,-,JROP02,108,-,-,15/10/2014,02/06/2015,Scaffold,Yunnan University,SAMN03018689
Taiwanofungus camphoratus,196114,PRJNA244959,244959,Fungi,Basidiomycetes,32.1556,50.6,GCA_000766995.1,-,JNBV01,360,-,-,15/10/2014,12/11/2014,Scaffold,Academia Sinica,SAMN02730102
Fusarium avenaceum,40199,PRJNA253730,253730,Fungi,Ascomycetes,43.1681,47.983,GCA_000769295.1,mitochondrion MT:JQGE01000002.1,JQGE01,78,-,-,10/10/2014,02/12/2014,Scaffold,"Collaboration between Erik Lys├╕e (Department of Plant Health and Plant Protection, Bioforsk - Norwegian Institute of Agricultural and Environmental Research) and Linda Harris (Eastern Cereal & Oilseed Research Centre, Agriculture & Agri-Food Canada).",SAMN02850900
Penicillium italicum,40296,PRJNA317511,317511,Fungi,Ascomycetes,31.0266,45.8,GCA_002116305.1,-,LWEC01,358,-,-,28/04/2017,01/05/2017,Scaffold,BGI,SAMN04620534
Galactomyces candidum,1173061,PRJNA243259,243259,Fungi,Ascomycetes,41.3845,47,GCA_000743665.1,-,JMRO01,560,-,-,26/08/2014,06/10/2014,Contig,Saint-Petersburg State University,SAMN02713643
